# OldHash      NewHash      CAfile                   CAURL                                       Version   Accreditation   
#--------------------------------------------------------------------------------------------------------
16da7552     dfb080e4     NIKHEF.pem               http://ca.dutchgrid.nl/medium/                 1.98   I
2f2e0e6e     a3e2dbca     NorduGrid-2015.pem       http://ca.nordugrid.org/                       1.98   I
f5ead794     18700496     PK-Grid-2007.pem         http://www.ncp.edu.pk/pk-grid-ca/              1.98   I
8f016f43     d0a33f8e     PKIUNAMgrid.pem          http://ca.unamgrid.unam.mx/                    1.98   I
8a661490     03b260e0     PolishGrid.pem           http://www.man.poznan.pl/plgrid-ca             1.98   I
4b2783ac     7f4db168     PSC-Myproxy-CA.pem       http://www.psc.edu/ca/                         1.98   I
633dc6a4     e91bd360     QuoVadis-Grid-ICA-G2.pem https://www.quovadisglobal.bm/                 1.98   I
5cf9d536     080911ac     QuoVadis-Root-CA1.pem    https://www.quovadisglobal.bm/                 1.98   I
7a819ef2     d7e8dc79     QuoVadis-Root-CA2.pem    https://www.quovadisglobal.bm/                 1.98   I
1f58a078     064e0aa9     QuoVadis-Root-CA2G3.pem  https://www.quovadisglobal.bm/                 1.98   I
e442e424     e18bfb83     QuoVadis-Root-CA3G3.pem  https://www.quovadisglobal.bm/                 1.98   I
ab2371fe     5f40742a     RCauth-Pilot-ICA-G1.pem  https://www.rcauth.eu/                         1.98   I
55994d72     94b468c6     RDIG.pem                 http://ca.grid.kiae.ru/RDIG/                   1.98   I
295adc19     089450c2     REUNA-ca.pem             http://reuna-ca.reuna.cl/                      1.98   I
1f3834d0     18bc5b05     RomanianGRID.pem         http://www.romaniangrid.ro                     1.98   I
c1e29225     77637f58     SDG-G2.pem               http://ca.sdg.grid.cn/en/                      1.98   I
da213f5b     ad9d1b74     seegrid-ca-2013.pem      http://see-grid-ca.hellasgrid.gr               1.98   I
3d5be7bc     156a0f0f     SiGNET-CA.pem            http://signet-ca.ijs.si/                       1.98   I
e13e0fcf     e21dc0c0     SlovakGrid.pem           http://ups.savba.sk/ca                         1.98   I
ff94d436     0e635db3     SRCE.pem                 http://ra.srce.hr                              1.98   I
1db3b27f     e523eeaa     TERENA-eScience-SSL-CA-3.pem https://www.terena.org/activities/tcs/         1.98   I
e732ef10     dbf09133     TERENAeSciencePersonalCA3.pem https://www.terena.org/activities/tcs/         1.98   I
1691b9ba     87429ba3     TRGrid.pem               http://www.grid.org.tr/ca                      1.98   I
4b3f5558     6f071272     TSU-GE.pem               https://grid-ca.tsu.ge/                        1.98   I
c53e160f     6999cae3     UGRID-G2.pem             https://ca.ugrid.org/                          1.98   I
ffc3d59b     530f7122     UKeScienceCA-2B.pem      http://www.grid-support.ac.uk/ca/              1.98   I
98ef0ee5     7ed47087     UKeScienceRoot-2007.pem  http://www.grid-support.ac.uk/ca/              1.98   I
24c3ccde     d71343e8     UNAMgrid-ca.pem          http://ca.unamgrid.unam.mx/                    1.98   I
95b96af1     522b8537     UNLPGrid.pem             https://www.pkigrid.unlp.edu.ar/               1.98   I
#--------------------------------------------------------------------------------------------------------
#
# OSGversion 1.81IGTFNEW
# IndexTypeVersion 1
